nim,judul,pengarang,penerbit,klasifikasi,call_number,bahasa,tahun,halaman,url,,,,,,,,
"C2155201005Judul :Prototype Sistem Pengunci Loker Berbasis RFID Pada Perpustakaan STMIK Palangkaraya + PDFPengarang :Henry Kasuma,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.32Call Number : TA TI 25.32 HEN pBahasa :IndonesiaTahun :2025Halaman :59Halaman :59Ketersediaan :TTI2500032Tersedia di STMIK Palangkaraya",Prototype Sistem Pengunci Loker Berbasis RFID Pada Perpustakaan STMIK Palangkaraya + PDF,Henry Kasuma,STMIK Palangkaraya,TA TI 25.32,TA TI 25.32 HEN p,Indonesia,2025,59,https://perpus.stmikplk.ac.id/perpus/main/item/17895,,,,,,,,
"C2155201059Judul :Sistem Informasi Arsip Dokumen Untuk Meningkatkan Efisiensi Dan Akuntabilitas Kerja Di Inspektorat Daerah Kabupaten Seruyan + PDFPengarang :Fatur Rahman,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.31Call Number : TA TI 25.31 FAT sBahasa :IndonesiaTahun :2025Halaman :68Halaman :68Ketersediaan :TTI2500031Tersedia di STMIK Palangkaraya",Sistem Informasi Arsip Dokumen Untuk Meningkatkan Efisiensi  Dan Akuntabilitas Kerja Di Inspektorat Daerah Kabupaten Seruyan + PDF,Fatur Rahman,STMIK Palangkaraya,TA TI 25.31,TA TI 25.31 FAT s,Indonesia,2025,68,https://perpus.stmikplk.ac.id/perpus/main/item/17893,,,,,,,,
"C2155201085Judul :Rancang Bangun Smart Relay Berbasis IOT Menggunakan ESP32 Untuk Pengendalian Konsumsi Energi Listrik Rumah Tangga + PDFPengarang :Aldya Saputra,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.30Call Number : TA TI 25.30 ALD rBahasa :IndonesiaTahun :2025Halaman :85Halaman :85Ketersediaan :TTI2500030Tersedia di STMIK Palangkaraya",Rancang Bangun Smart Relay Berbasis IOT Menggunakan ESP32 Untuk Pengendalian Konsumsi Energi Listrik Rumah Tangga + PDF,Aldya Saputra,STMIK Palangkaraya,TA TI 25.30,TA TI 25.30 ALD r,Indonesia,2025,85,https://perpus.stmikplk.ac.id/perpus/main/item/17892,,,,,,,,
"C2355201090Judul :Analisis Forensik Bukti Digital Pada Kerentanan Keamanan Perangkat Absensi Sidik Jari Berbasis Web ServerPengarang :Dendy Dwi Sukmana,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.29Call Number : TA TI 25.29 DEN aBahasa :IndonesiaTahun :2025Halaman :42Ketersediaan :TTI2500029Tersedia di STMIK Palangkaraya",Analisis Forensik Bukti Digital Pada Kerentanan Keamanan Perangkat Absensi Sidik Jari Berbasis Web Server,Dendy Dwi Sukmana,STMIK Palangkaraya,TA TI 25.29,TA TI 25.29 DEN a,Indonesia,2025,42,https://perpus.stmikplk.ac.id/perpus/main/item/17870,,,,,,,,
"C2155201095Judul :Implementasi Chatbot AI Berbasis Web Untuk Layanan Informasi Penerimaan Mahasiswa Baru STMIK Palangkaraya + PDFPengarang :Fernando Wardana,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.28Call Number : TA TI 25.28 FER iBahasa :IndonesiaTahun :2025Halaman :70Halaman :70Ketersediaan :TTI2500028Tersedia di STMIK Palangkaraya",Implementasi Chatbot AI Berbasis Web Untuk Layanan Informasi Penerimaan Mahasiswa Baru STMIK Palangkaraya + PDF,Fernando Wardana,STMIK Palangkaraya,TA TI 25.28,TA TI 25.28 FER i,Indonesia,2025,70,https://perpus.stmikplk.ac.id/perpus/main/item/17869,,,,,,,,
"C2155201055Judul :Prototype Robot Pemadam Kebakaran Otomatis Dengan Sensor Api Berbasis IoTPengarang :Ezra Kurniawan,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.27Call Number : TA TI 25.27 EZR pBahasa :IndonesiaTahun :2025Halaman :45Ketersediaan :TTI2500027Tersedia di STMIK Palangkaraya",Prototype Robot Pemadam Kebakaran Otomatis Dengan Sensor Api Berbasis IoT,Ezra Kurniawan,STMIK Palangkaraya,TA TI 25.27,TA TI 25.27 EZR p,Indonesia,2025,45,https://perpus.stmikplk.ac.id/perpus/main/item/17849,,,,,,,,
"C2155201097Judul :Prototype Sistem Penghitung Otomatis Jumlah Jemaat Berbasis IoT Pada Gereja GKE Ewanggelion + PDFPengarang :Imanuel Natalis Timisela,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.26Call Number : TA TI 25.26 IMA pBahasa :IndonesiaTahun :2025Halaman :55Halaman :55Ketersediaan :TTI2500026Tersedia di STMIK Palangkaraya",Prototype Sistem Penghitung Otomatis Jumlah Jemaat Berbasis IoT Pada Gereja GKE Ewanggelion + PDF,Imanuel Natalis Timisela,STMIK Palangkaraya,TA TI 25.26,TA TI 25.26 IMA p,Indonesia,2025,55,https://perpus.stmikplk.ac.id/perpus/main/item/17848,,,,,,,,
"C2155201006Judul :Prototype Sistem Monitoring Kelembaban Tanah Pada Tanaman Kemunting Berbasia IoT + PDFPengarang :Rezkya Juliantho,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.25Call Number : TA TI 25.25 REZ pBahasa :IndonesiaTahun :2025Halaman :100Halaman :100Ketersediaan :TTI2500025Tersedia di STMIK Palangkaraya",Prototype Sistem Monitoring Kelembaban Tanah Pada Tanaman Kemunting Berbasia IoT + PDF,Rezkya Juliantho,STMIK Palangkaraya,TA TI 25.25,TA TI 25.25 REZ p,Indonesia,2025,100,https://perpus.stmikplk.ac.id/perpus/main/item/17846,,,,,,,,
"C2155201003Judul :Prototype Sistem Penyiraman Tanaman Apel Berbasis Internet Of Things (IOT) + PDFPengarang :Yoga Anditia,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.24Call Number : TA TI 25.24 YOG pBahasa :IndonesiaTahun :2025Halaman :74Halaman :74Ketersediaan :TTI2500024Tersedia di STMIK Palangkaraya",Prototype Sistem Penyiraman Tanaman Apel Berbasis Internet Of Things (IOT) + PDF,Yoga Anditia,STMIK Palangkaraya,TA TI 25.24,TA TI 25.24 YOG p,Indonesia,2025,74,https://perpus.stmikplk.ac.id/perpus/main/item/17836,,,,,,,,
"C2155201053Judul :Implementasi Media Pembelajaran Interaktif Muatan Lokal Menggunakan Augmented Reality Di SMPN 2 Palangka Raya+ PDFPengarang :Elfira Sintani,Penerbit :STMIK PalangkarayaKlasifikasi :TA TI 25.23Call Number : TA TI 25.23 ELF iBahasa :IndonesiaTahun :2025Halaman :86Halaman :86Ketersediaan :TTI2500023Tersedia di STMIK Palangkaraya",Implementasi Media Pembelajaran Interaktif Muatan Lokal Menggunakan Augmented Reality Di SMPN 2 Palangka Raya+ PDF,Elfira Sintani,STMIK Palangkaraya,TA TI 25.23,TA TI 25.23 ELF i,Indonesia,2025,86,https://perpus.stmikplk.ac.id/perpus/main/item/17835,,,,,,,,
